TeamName,cset,package_name,CB_Score,AvailabilityScore,FuncScore,PerfScore,ExecTimeOverhead,FileSizeOverhead,MemUseOverhead,SecurityScore,ReferenceScore,ConsensusScore,EvaluationScore
Tenth Place Team,CROMU_00034,5821ad01_ee9ae96fc8318f7ccf7ca56d17f54650d02fb223b5bef8bd6823c53a62948b7b.ar,0.44,0.194401724,0.194401724,0.923845426,-0.45,-0.01,0.12,1.125,0.25,0,2
Eighth Place Team,CROMU_00034,5821ad01_8d2636ce3f8e8e996d8cff526e10105015fd0d50dcc4eac80f082c5770c3fdb2.ar,0,1,1,1,-0.01,0,0,0,0,0,2
Seventh Place Team - Finalist,CROMU_00034,5821ad01_1bbc053fd24db0c28ee5b973a022f80e3c8b653d0645ef15dd2d362a5f7f82fc.ar,0,0,1,0,1.27,0.03,0.12,1.125,0.25,0,2
Fourth Place Team - Finalist,CROMU_00034,5821ad01_a59809eb8db6f0c6aa73935b7310ea6089b3e15ec9b710a71698cde947e0ec98.ar,0.72,0.384401538,1,0.384401538,0.37,0.13,0.31,1.875,0.75,1,1
Ninth Place Team,CROMU_00034,5821ad01_f144cea1c7ebcc17a87f11caccb9593f9db3d99b3cb375cadc1bd14cea7809f2.ar,0.35,0.09367,1,0.09367,0.72,-0.25,0.81,1.875,0.75,1,2
Third Place Team - Finalist,CROMU_00035,bf23d401_eb8d3346656713ead8f1a54ff5e82b7de7f829593470eff23cf70fff5739792b.ar,0.55,0.275729767,1,0.275729767,-0.14,0.11,0.48,2,1,1,1
Second Place Team - Finalist,CROMU_00035,bf23d401_30f0b72eb022b7baa12280e4ef70cd92078fc50a0aea910f63151dee32770e2d.ar,0,0,0,1,-1,0.03,-0.53,0,0,0,1
Sixth Place Team - Finalist,CROMU_00035,bf23d401_162869a9d4da1250466319581aac096d4ef5e957f0cb440b25e5619cf596ccfd.ar,0,0,0.823637762,0,0.05,1.13,1.27,1.75,0.5,1,1
First Place Team - Finalist,CROMU_00035,bf23d401_2852609a6787c5eb93e979509dbe8770f26e3e9fee058273acdb8e1f03a3af8b.ar,0.85,0.422973598,1,0.422973598,-0.09,0.19,0.34,2,1,1,1
Tenth Place Team,CROMU_00035,bf23d401_90dcbff8ac70dd591c0ee2aa3848374fc19e8a80d2d1e629dad9ce0460c2433a.ar,0,1,1,1,0,-0.01,0,0,0,1,1
Seventh Place Team - Finalist,CROMU_00035,bf23d401_64883a89153345b456de0ae71f3647dbf69681b3219de96c032bf69026606540.ar,1.68,0.960980344,1,0.960980344,0,0,0.11,1.75,0.5,1,1
Fourth Place Team - Finalist,CROMU_00035,bf23d401_55be9174cead2a94fc3affd45f3ed173eb55d13bc1b0c098c7361d27cb458d6e.ar,0.3,0.17255,1,0.17255,0.12,0.11,0.65,1.75,0.5,1,1
Ninth Place Team,CROMU_00035,bf23d401_3072f1a16388c2ddec262b9aed7625b752423b0b68fe63c843a756757f4ba1c2.ar,0.15,0.088243539,0.088243539,0.192350009,-0.67,-0.34,0.61,1.75,0.5,1,1
Third Place Team - Finalist,CROMU_00036,5d469c01_a78984529091484ca5252d5cf5d3195d44f7f907b65f826481ae992d3cf3accb.ar,1.04,0.260308205,1,0.260308205,0.5,0.39,0.14,2,1,1,2
Second Place Team - Finalist,CROMU_00036,5d469c01_0a37722410e995aaf21402712392c5b051f3bc1e06da4e89a74fe6470abb5450.ar,0,0,1,0,1.25,-0.01,0.14,2,1,1,1
Fifth Place Team - Finalist,CROMU_00036,5d469c01_f5b56ddba42257f85439a93beaf598c296319fb65bd01462896f29180276ef08.ar,0,1,1,1,-0.01,0,0,0,0,0,1
Sixth Place Team - Finalist,CROMU_00036,5d469c01_f271332ee5b71221bf25fcb40a04b773ec30a4eaa6de643428342ea53ff34cae.ar,0.05,0.020430983,0.020430983,0.301068228,0.45,0.7,0.3,1.25,0.5,0,2
First Place Team - Finalist,CROMU_00036,5d469c01_799c53c1cf58b010c329ef745c2f65275f221d6f3896f1d65298f84586adbad5.ar,4,1,1,1,0,-0.82,0,2,1,1,2
Tenth Place Team,CROMU_00036,5d469c01_d9183b3aaba6ea4027079ec1873552969c984b4f1fe8d804b50e19324480c8d3.ar,0,1,1,1,-0.01,-0.01,0,0,0,0,1
Eighth Place Team,CROMU_00036,5d469c01_4d7f938f671971d65352592f6dba619dcdba47db511f8cd98e1ef83ea5d83cf5.ar,0,0.260308205,1,0.260308205,0.5,0,0,0,0,0,2
Seventh Place Team - Finalist,CROMU_00036,5d469c01_4e9e3368033cca31bb4dd78aed13cbce4507c6c5340e337768a072900f4c10e2.ar,0,0,0.056374379,0,12.84,0.04,0.14,2,1,1,2
Fourth Place Team - Finalist,CROMU_00036,5d469c01_39d45b28ac0f3fd206d98a99c06dd64564f9d9862c71873a90a7ff4f487a8885.ar,0.16,0.07888,1,0.07888,0.84,0.06,0.02,2,1,1,1
Ninth Place Team,CROMU_00036,5d469c01_e33a81180bdc4ee82b89c1e2dfa64bee7e009f5d406672460c31166174bcb003.ar,0,0,1,0,5.11,-0.69,0.07,1.25,0.5,0,2
Third Place Team - Finalist,CROMU_00037,588d3e01_12e2f09e21e424318648f6cfbbdb7d87ef0ce880dc35742abc8360d3181b724f.ar,2,1,1,1,-0.22,0.04,0.01,2,1,1,1
Second Place Team - Finalist,CROMU_00037,588d3e01_929a0d48c45be11e7f18457efaedac21781086f230538aa40fcd490d2e34d2cf.ar,1.14,0.571753246,1,0.571753246,0.25,0.04,0,2,1,1,1
Fifth Place Team - Finalist,CROMU_00037,588d3e01_4ce29f0752983e9d9d66111574c7eb1f718317b411748ccd30de9afa581489d8.ar,2,1,1,1,-0.01,0,0,2,1,1,1
Sixth Place Team - Finalist,CROMU_00037,588d3e01_23cb55f7b7fa51920e98cd61f839ca7ee939a7ae51c6a0b3f43ba73b68df914b.ar,1.63,0.81491363,1,0.81491363,0.02,0.61,0.02,2,1,1,1
First Place Team - Finalist,CROMU_00037,588d3e01_94ea197b7317954cfc3522ec0ebd1b8f223d72e44a12fce77b1f557c6bf0d5b9.ar,2,1,1,1,-0.21,0.1,0,2,1,1,1
Tenth Place Team,CROMU_00037,588d3e01_b7e97299d87a67844590f95964203acc909f05be7fca3daa71d5d93f66e84928.ar,2,1,1,1,-0.01,0.04,0,2,1,1,1
Seventh Place Team - Finalist,CROMU_00037,588d3e01_34a97c4b554081c8921b52e8a1fafb43bd1993aea2ac406d7a057ba088c7023b.ar,0,1,1,1,-0.01,0,0,0,0,1,1
Fourth Place Team - Finalist,CROMU_00037,588d3e01_ff372507a55a5ff0641e206c62c28ea249b8355e68848482f42d0ba45237212a.ar,2,1,1,1,0,0.05,0,2,1,1,1
Ninth Place Team,CROMU_00037,588d3e01_30c1bbc1da3605de712f92bc8d02ba2001ad55344de580a5e179412f6cc43e7e.ar,0,0,0,1,-1,-0.73,-0.98,0,0,0,1
Third Place Team - Finalist,CROMU_00038,eae6fa01_41bc8a48e4dfedeaad5fee6aeb1c275458bf1b87aec46baafecc14b81efffbef.ar,0.73,0.18241,1,0.18241,0.63,0.09,0.54,2,1,1,2
Second Place Team - Finalist,CROMU_00038,eae6fa01_9e2b686002f9a280a0269c862a84ec0f1e009ae9f0abc147a80ed5393c213c6d.ar,1.93,0.482253086,1,0.482253086,0.3,-0.07,-0.08,2,1,1,2
Sixth Place Team - Finalist,CROMU_00038,eae6fa01_f559759fcd328d130fa37d7cf31ceb0017e028e734f83c8bf5b9bff96d371724.ar,1.45,0.396750808,1,0.396750808,0.36,0.14,0.3,1.833333333,0.666666667,1,2
First Place Team - Finalist,CROMU_00038,eae6fa01_e8d6f8de4abc867e6597bf74003aa3ed862e1996d6c2a95c08646ca0179bb65e.ar,3.67,1,1,1,-0.01,0.01,0,1.833333333,0.666666667,1,2
Tenth Place Team,CROMU_00038,eae6fa01_602ba2a5ae8acd65cf0bfd3bad2c766a526e70914fb5271cb359577ca7fbc5ea.ar,0,1,1,1,-0.06,-0.01,0,0,0,0,1
Eighth Place Team,CROMU_00038,eae6fa01_8d62fad1de74a7fae7d31d09828f3d5e70a56694ee173a48b9dc8fad756c145e.ar,2.33,1,1,1,-0.06,0,0.08,1.166666667,0.333333333,0,2
Seventh Place Team - Finalist,CROMU_00038,eae6fa01_7d8c0b9f5e4d66af72e14a2a872bea196780e8a4db037aad5fda938993706f8d.ar,1.78,0.762895212,1,0.762895212,-0.05,0.03,0.17,1.166666667,0.333333333,0,2
Fourth Place Team - Finalist,CROMU_00038,eae6fa01_3543e67ec5617f8892e3217431f03d0b9b3995ac3759b3bb42146fdeede71bc5.ar,0.91,0.339558665,1,0.339558665,0.41,0.09,0.36,1.333333333,0.666666667,0,2
Ninth Place Team,CROMU_00038,eae6fa01_2b0051691c0dc494bcb5e4093734909c2a6e57494e1af924ae3540462dfdb1ce.ar,0.12,0.046863,0.046863,0.533650048,-0.79,-0.48,0.27,1.333333333,0.666666667,0,2
Third Place Team - Finalist,CROMU_00039,474a5e01_276d19b3c8e964920addae04749d55a79973eecdff1a7a049ada1c4345ab5d2f.ar,0,0,1,0,1.8,-0.02,0.42,2,1,1,2
Second Place Team - Finalist,CROMU_00039,474a5e01_42c1c2f3be013cff4473d5b25bc43b4ecdba4ce42ed3f3aa40fea5154f7b4a89.ar,0,0,0,1,-0.68,-0.02,0,0,0,0,1
Fifth Place Team - Finalist,CROMU_00039,474a5e01_fd2faedbcbf5f473cb2705a53105c9925bb6c590a7d6df4e1822575c8b355f22.ar,0,0,1,0,1.01,-0.01,0,0,0,1,1
Sixth Place Team - Finalist,CROMU_00039,474a5e01_735a62765150e99c02f3fe5ff7ffed1dfad2638c529242d4808b9d8b50f77de7.ar,1.04,0.260308205,1,0.260308205,0.13,0.14,0.5,2,1,1,2
First Place Team - Finalist,CROMU_00039,474a5e01_b387d175d6f282b75b03f308c710a6c7392445e7977e5fb0a9aa1baca3fa3cc2.ar,0,0.329385347,1,0.329385347,0.37,0.17,0.42,0,0,1,2
Tenth Place Team,CROMU_00039,474a5e01_115a1088b77d8e36416bda4fcf2992f0988cfa60779c413c51dccc0696942f9b.ar,4,1,1,1,-0.05,0.03,0.07,2,1,1,2
Eighth Place Team,CROMU_00039,474a5e01_0acad1796990a3a6ed29c8659fa2714d54223519d7698b66878dd67d62c43a7e.ar,0,1,1,1,-0.05,-0.01,0,0,0,0,2
Seventh Place Team - Finalist,CROMU_00039,474a5e01_8f936f9d443667b9ea460a3693fc10102f2118589cb2e249d52e1091aa1bc437.ar,0.35,0.086385149,0.086385149,0.361111367,-0.24,-0.01,0.39,2,1,1,2
Fourth Place Team - Finalist,CROMU_00039,474a5e01_331aa35618a62bf671d87f3d516c754d8ea6183a933eba49b755a88ba9fc5622.ar,1.07,0.533650048,1,0.533650048,0.27,0.03,0.07,2,1,1,1
Ninth Place Team,CROMU_00039,474a5e01_2835ad8b5ea863c06bf3dea9bfada3ed6885ac2e1066f690ec3d78a7d02b497e.ar,2.06,0.515788875,1,0.515788875,-0.1,-0.78,0.28,2,1,1,2
Third Place Team - Finalist,CROMU_00040,d7ccee01_31f008657421df66c4e8f49eccac96ae25fe64b27b054559c7dd0c41490b921a.ar,1.32,0.329385347,1,0.329385347,0.42,0.05,0.27,2,1,1,2
Second Place Team - Finalist,CROMU_00040,d7ccee01_150d3cd917c36eef922be493ba35ca19f588306a5721d0dbf565292ff433f31b.ar,0,0.048387,0.048387,1,-1,-0.01,-0.51,0,0,0,1
Fifth Place Team - Finalist,CROMU_00040,d7ccee01_0c5e24876d9c2bc6aad0ad18b4814992444d5ea5c6b5280e9c7d6c45b94b37fb.ar,2.33,1,1,1,0.05,0,0.07,1.166666667,0.333333333,0,2
Sixth Place Team - Finalist,CROMU_00040,d7ccee01_e1c5ddf0195837804db215960d4a17c0549bfd04bccb8751621f8f4787c86aee.ar,0.11,0.048387,0.048387,0.260308205,-0.96,1.02,0.5,1.166666667,0.333333333,0,2
First Place Team - Finalist,CROMU_00040,d7ccee01_68addbaba0f4d38d60f9058ac605082531589b5626a3db23dae1dd7e76acadd8.ar,2.33,1,1,1,-0.01,0.01,0.05,1.166666667,0.333333333,0,2
Tenth Place Team,CROMU_00040,d7ccee01_d3a2bd30506c6a5dc84e09c2c5b986b462659801ead7655acd1674152d227cd0.ar,0,1,1,1,-0.01,-0.01,-0.01,0,0,0,1
Eighth Place Team,CROMU_00040,d7ccee01_a9436b1cfe40ba709d2136d46225a97654a9e3a38e866e72d94dfbf0b263c98c.ar,2.33,1,1,1,0.04,0,-0.01,1.166666667,0.333333333,0,2
Seventh Place Team - Finalist,CROMU_00040,d7ccee01_80fcc6993598ed87fc4e789d74fb89fb35f77f84ac094711cb017f970a111fe8.ar,0,1,1,1,-0.01,0,-0.01,0,0,0,1
Fourth Place Team - Finalist,CROMU_00040,d7ccee01_d60fd6b6469687bda1ba44773e06ed5e7c70203589d63bbb62ac0c05d7377bc3.ar,0,0,1,0,0.1,0.07,1.15,1.166666667,0.333333333,0,1
Ninth Place Team,CROMU_00040,d7ccee01_3fe0e31837479e5f284403ed7e64c80f61635c0acaa7003d3bf82f2e30cc552b.ar,0.11,0.048387,0.048387,1,-0.97,-0.69,-0.18,1.166666667,0.333333333,0,2
Third Place Team - Finalist,CROMU_00041,073bd401_b3271ed1ebeb5a2662e3c5c83b100d1172696cafd6dbbf8c287b725a20a1cb0a.ar,0.82,0.4096,1,0.4096,0.22,0.05,0.35,2,1,1,1
Second Place Team - Finalist,CROMU_00041,073bd401_16a3daec1ef35048245e5a9587e3d6e214683daed2216741f3f906417210aa30.ar,1.58,0.792093663,1,0.792093663,0.16,-0.07,-0.14,2,1,1,1
Fifth Place Team - Finalist,CROMU_00041,073bd401_2effff3e759f309904f6604ee02c05240815095ca327d8eee7eb1c38ea87b15d.ar,0,0,0,1,-0.93,0,-0.03,2,1,1,1
Sixth Place Team - Finalist,CROMU_00041,073bd401_449821061555227183ee8c6228f3a83ffdcc9325274c2a526eb1f0baf66b3905.ar,0,0,1,0,0.24,1.06,1.16,0,0,1,1
First Place Team - Finalist,CROMU_00041,073bd401_2b314f3304b1d8690302f120d18a6348f01ecb1c1a62627d7bf9cf96ef9e4216.ar,1.03,0.515788875,1,0.515788875,0.16,0.14,0.28,2,1,1,1
Tenth Place Team,CROMU_00041,073bd401_0cc4331604eb4a44edfb4e6a96efccb5decfe49ff18c4ca647e972e4ca8a1572.ar,0,1,1,1,-0.03,-0.01,0,0,0,1,1
Seventh Place Team - Finalist,CROMU_00041,073bd401_d9fbde99e0e763d902d11c0a0281c045579df45b2393b8404949d87833221233.ar,0,1,1,1,-0.02,0,0,0,0,1,1
Fourth Place Team - Finalist,CROMU_00041,073bd401_7a7dfdf0693be3418ead6d40fa1c4e08a00444681583c5f8909bb1177a6a3194.ar,0,0.635518078,1,0.635518078,0.14,0.1,0.22,0,0,1,1
Ninth Place Team,CROMU_00041,073bd401_e1c80ae6a91282b7872bf155bd558d85ebfdbec6ce39736cabb8bd27c8b55d8b.ar,0.07,0.035433,0.035433,0.515788875,-0.11,-0.56,0.28,2,1,1,1
Third Place Team - Finalist,CROMU_00042,f571e401_b888ce92be8664c1b8b5c7aa8cd621bc3ddb63e5305c1fdb015a6a4237086d97.ar,1.93,0.482253086,1,0.482253086,0.3,0.07,0.28,2,1,1,2
Second Place Team - Finalist,CROMU_00042,f571e401_2f9f44d60e469961398b968a0a3abd6cb48138dfa4bfd5de22c8c4f3af2dded3.ar,1.92,0.960980344,1,0.960980344,0.11,-0.02,-0.19,2,1,1,1
Fifth Place Team - Finalist,CROMU_00042,f571e401_6972f5964888114bce21fee85764b64f13dbf10275547d476b465d95917556c5.ar,2.75,0.688439553,0.688439553,1,-0.08,0,-0.03,2,1,1,2
Sixth Place Team - Finalist,CROMU_00042,f571e401_a9f5b919d9d656faef765a77f7ab7ee6eea82b226fc1e7f0fa19020a50644e1c.ar,0,0,1,0,0.34,0.87,1.04,0,0,0,1
First Place Team - Finalist,CROMU_00042,f571e401_2aef757f9a495d035e4c4ceeb3c434cb7b7ccebce6f2ce107dc56824f6fdeef3.ar,3.33,1,1,1,0,0.02,0,1.666666667,0.333333333,1,2
Tenth Place Team,CROMU_00042,f571e401_32c496448be9cd178726f67ccebe5c799349c7ff2fb38ec8c4d584ab450b9b11.ar,0,1,1,1,0,0.03,0.02,0,0,0,1
Eighth Place Team,CROMU_00042,f571e401_469a777ac7a206956b50de0b2851d302e70baae06a4117ff3be31fec1befef38.ar,0,1,1,1,0,0,0,0,0,0,2
Seventh Place Team - Finalist,CROMU_00042,f571e401_2e47923406515faf87edd4630b0d37f71d09daef60d2a036bddb95e6fe9af07c.ar,0,0.396750808,1,0.396750808,0.04,0,0.36,0,0,0,1
Fourth Place Team - Finalist,CROMU_00042,f571e401_609c46a0b9236436c2e401cd98b5558c156ba381ae768efe56aad3d6e13b8956.ar,0.72,0.361111367,1,0.361111367,0.19,0.07,0.39,2,1,1,1
Ninth Place Team,CROMU_00042,f571e401_1596d8ed9c0bb687dd82ca9d72061dbf72cc8825787c14a0e14f3b40622fc390.ar,0.21,0.104662055,0.104662055,0.592080277,-0.67,-0.5,0.24,2,1,1,1
Third Place Team - Finalist,CROMU_00043,81b68a01_c0190934f78e3673b9b31b597f6089d105fb387c90da80405d7b0ba1b1aaf961.ar,0,0,1,0,1.28,0.19,0.12,2,1,1,2
Second Place Team - Finalist,CROMU_00043,81b68a01_5861110cd1aac09cd42e8126619fcb8a57e779a96b48b57ed23604af34197f21.ar,0.19,0.094488,0.094488,1,-0.6,-0.8,-0.29,2,1,1,1
Fifth Place Team - Finalist,CROMU_00043,81b68a01_2caf185d0c18f098c59fe298d040f97ce5155cfc3f74ff25b8acc65b3a5363e6.ar,0,1,1,1,0.05,0,0.01,0,0,0,1
Sixth Place Team - Finalist,CROMU_00043,81b68a01_b466893db32bd025a1510aa7d8c1a2d2fdcf609831d3fb054250b85e1f239acc.ar,0.43,0.173249986,0.173249986,0.260308205,-0.69,0.11,0.5,1.25,0.5,0,2
First Place Team - Finalist,CROMU_00043,81b68a01_98780f02929dcd66b38668a8058dbc94fa6be4ab2404cc7212e1abcd6072bf9b.ar,4,1,1,1,0.03,-0.8,-0.02,2,1,1,2
Tenth Place Team,CROMU_00043,81b68a01_1999b0381970f412206cbd275f6f6ce128cf6e59ee3af8bc727523f37df17d9c.ar,0,1,1,1,0,-0.01,-0.01,0,0,0,1
Seventh Place Team - Finalist,CROMU_00043,81b68a01_e5c430a7c9cee485b90bd46705b18e26e24b9f6e5519f88b944559ee2fd22f1d.ar,0,0.028575,0.028575,1,-0.97,0,-0.36,0,0,0,1
Fourth Place Team - Finalist,CROMU_00043,81b68a01_0e46e4e57980e15ae2bb0d2928e7433d9ca2cbc855df993d8dd384a4c487ddcf.ar,0,0.888487048,1,0.888487048,0.13,0.08,0.08,0,0,0,1
Ninth Place Team,CROMU_00043,81b68a01_a27251240fad4eb3456af9fd81090eb196a2ad553eeb87b83db9f583f475bbab.ar,0,0,1,0,1.27,-0.64,0.11,2,1,1,2
Third Place Team - Finalist,CROMU_00044,ae4e9e01_5d0e4471edd310097d11e315839261c1c4413137627825a91da4358e767f45e6.ar,1.04,0.260308205,1,0.260308205,0.25,0.09,0.5,2,1,1,2
Sixth Place Team - Finalist,CROMU_00044,ae4e9e01_b0a899b83ac5dae87c7b12c0aa8c7260e60209119f991fb06b2a5601dc55aebe.ar,1.75,0.436897495,1,0.436897495,0.02,0.11,0.33,2,1,1,2
First Place Team - Finalist,CROMU_00044,ae4e9e01_9be9929fc4a688d31aee6abea4120dacc44bdddccc79bb2a9ec12642f36a12a1.ar,4,1,1,1,-0.03,-0.01,0.04,2,1,1,2
Tenth Place Team,CROMU_00044,ae4e9e01_a99cf9a32e4d5ae0bab6bb9a35d21b06c678e6769bcbde44d30d95172ade29fe.ar,0,1,1,1,-0.04,-0.01,0.04,0,0,0,1
Seventh Place Team - Finalist,CROMU_00044,ae4e9e01_d5822186b9a8df04bd9a78349e84aebf9cb30bcf78bb4ed67741f5b8392b089c.ar,0,0,0,0.613318728,-0.86,0,0.23,0,0,0,1
Fourth Place Team - Finalist,CROMU_00044,ae4e9e01_03e4cc49f8888891816b1850ae4018f92741a0aacfbb301a1a24acf9dd307d65.ar,0,0.329385347,1,0.329385347,0.27,0.08,0.42,0,0,0,1
Ninth Place Team,CROMU_00044,ae4e9e01_299e71a0815ad357bb38fbbb0465faeb57ebe8aae38df014471c39b7697c2de3.ar,0,0,0.53794302,0,3.03,-0.4,0.72,2,1,1,2
Second Place Team - Finalist,KPRCA_00002,975cc301_3160c2cce12e6029fea80717e192af83493757f31b67548404dc06606a67db3b.ar,0.08,0.04166004,0.04166004,1,-1,0.04,0.1,2,1,1,1
Fifth Place Team - Finalist,KPRCA_00002,975cc301_23103fca66121245417b57f43f162828ae8f629bab1b89f41ac66f124f140068.ar,0,0.822702475,1,0.822702475,-0.01,0,0.15,0,0,1,2
Sixth Place Team - Finalist,KPRCA_00002,975cc301_d4f61255e75df1e056ec4d4c3b46c28578928242a3b9dbe79260219bcf4d853b.ar,0.07,0.034842942,0.034842942,0.17748,-1,0.39,0.64,2,1,1,1
First Place Team - Finalist,KPRCA_00002,975cc301_039fd9c312529d9e94af1e935e5a3fb09dd58c4c9fa909e7a67f79531cf612c1.ar,0,0.329385347,1,0.329385347,0,0.13,0.42,0,0,1,1
Tenth Place Team,KPRCA_00002,975cc301_7fdb971ca76dd2e7255be001f988816f9e557b5bcfbd771f0f141c9bcb364ec5.ar,0,0.931519812,0.931519812,1,-0.01,-0.01,0,0,0,0,1
Seventh Place Team - Finalist,KPRCA_00002,975cc301_57044b51aae6107e674b0429c409ac17423aef1c0619a01bb4cd64137979d7e0.ar,0,1,1,1,-0.01,0,-0.1,0,0,0,1
Fourth Place Team - Finalist,KPRCA_00002,975cc301_c94bcf48754f6deeaab2f98ed862e53a1e9120278fea1075dd345d92652fb827.ar,0.01,0.006817097,0.006817097,1,-1,0.03,-0.01,1.25,0.5,0,1
Ninth Place Team,KPRCA_00002,975cc301_5dcc9297ac406e449b504299e3d35a95231568451165aea0c9470be2c0f07bed.ar,0,1,1,1,-0.01,0,0,0,0,0,2
Third Place Team - Finalist,KPRCA_00007,0f4f4901_c64a80d88213dc5d95ad68b1558946091a23fd3bac7c4b22f40d1b9e65d94ec7.ar,0.08,0.03944,1,0.03944,0.92,0.06,0,2,1,1,1
Second Place Team - Finalist,KPRCA_00007,0f4f4901_86738c685280332bbdf177ffc083bfab1f1ff57d6727e2e0087e0d19e3d17ac4.ar,0.66,0.329385347,1,0.329385347,0.42,0.01,0,2,1,1,1
Fifth Place Team - Finalist,KPRCA_00007,0f4f4901_85893dafdc025bdf7ccfec4ad9e5fc34377b1a645b81efb253b888ac6c5fd0df.ar,0.15,0.120015,0.120015,0.923845426,0.12,0,-0.01,1.25,0.5,0,1
Sixth Place Team - Finalist,KPRCA_00007,0f4f4901_c1bf18dd565ed80f18dea7161e70b47758eb3f1012b8a9cec099d978785e525e.ar,0,0,0,0.854804191,-1,0.56,-0.01,2,1,1,1
First Place Team - Finalist,KPRCA_00007,0f4f4901_248388f1bc05eda10b83eb9f63ba2d0cb62c7eed7721dbf5ad0a2ec553c497c8.ar,0,1,1,1,0,0.02,0,0,0,0,2
Tenth Place Team,KPRCA_00007,0f4f4901_a3147540b8b073d5855cb8b4f395c30232fcb40ab06e5864df1760f220fdc69d.ar,0,1,1,1,0.02,0.05,0,0,0,0,1
Seventh Place Team - Finalist,KPRCA_00007,0f4f4901_b2de9db56e624a3264864a95494371428eca657b0583b6d339013fa8ac3c0894.ar,0,1,1,1,0.03,0,0,0,0,0,2
Fourth Place Team - Finalist,KPRCA_00007,0f4f4901_6f2a67368857a45a0ca6e0b4c82dc91e1b43736fe0d5ac4bf3cc4c0c5a2ca184.ar,0,0.960980344,1,0.960980344,0.11,0.14,0,0,0,0,1
Ninth Place Team,KPRCA_00007,0f4f4901_fd5e6c666cef4562d8c7f55ddfe3ea540baa1da9f21c7229eb130877a1fd115e.ar,0,0,0.303759324,0,331.2,-0.76,0,1.75,0.5,1,1
Third Place Team - Finalist,KPRCA_00008,76ddd501_af3c5ef4593d9c404e23b58ffbc8bbde139e49cedcfd6c0b07bbbad986640e1d.ar,0,0,1,0,4.77,0.16,0.24,2,1,1,1
Second Place Team - Finalist,KPRCA_00008,76ddd501_a09d5f0b4702e7bd89b777d1dfd5e85f93566b83d4ef2b790fb66e0e1ea7800c.ar,0.2,0.100584,0.100584,0.683013455,0.2,0.02,-0.01,2,1,1,1
Fifth Place Team - Finalist,KPRCA_00008,76ddd501_ad452aadfe3670b1b161bfbaef08ace05ad43e464a6b9fadc7e6fa8067556856.ar,0.04,0.019812,0.019812,1,-0.78,0,-0.03,2,1,1,1
Sixth Place Team - Finalist,KPRCA_00008,76ddd501_90ab89064dc0bde7c71c41fb3c7a5858eed43152e28d0425c900cc9e0aece65d.ar,0,0.4096,1,0.4096,0.35,0.19,0.13,0,0,1,1
First Place Team - Finalist,KPRCA_00008,76ddd501_4e6a528a1ba5a1a1d883e3883e04f6bd4789262a4417a5dd9ed1b1039bc98ac1.ar,2,1,1,1,0.06,0.07,0.04,2,1,1,1
Tenth Place Team,KPRCA_00008,76ddd501_1db510f4d95b6106bb703c202264dcee855b49c9d79e512d6a7e9ea25bdfaf42.ar,0.14,0.068961,0.068961,1,-0.78,0.04,-0.04,2,1,1,1
Seventh Place Team - Finalist,KPRCA_00008,76ddd501_e93b3ed28ed9981f22bd8e2dae4f9a94bae288d19cbf03d5ccbf9270b2207ea3.ar,0,0.019812,0.019812,1,-0.94,-0.01,-0.09,0,0,1,1
Fourth Place Team - Finalist,KPRCA_00008,76ddd501_f00f55b14ab242f1951968550b7740f550b100e50818fc85e74d49fcf310d08b.ar,1.37,0.683013455,1,0.683013455,0.2,0.1,0.07,2,1,1,1
Ninth Place Team,KPRCA_00008,76ddd501_3f090eedfc91ed07d5e8b7860ccb50908d7f1179faff669edbd00babe1b8e3fd.ar,0,0,1,0,2.22,-0.81,0.15,0,0,1,1
Third Place Team - Finalist,KPRCA_00009,b7897101_d2032b3bd4453ba2d3faeea7bf6faaa47a3cbbe30ba9ecdfc1f12bccf1b35d09.ar,0.7,0.350127797,0.957637268,0.350127797,0.4,0.15,0.29,2,1,1,1
Second Place Team - Finalist,KPRCA_00009,b7897101_44388bb569c70ae3761a769d257666a3698949506ff3bd2184131365941e3918.ar,1,0.498668751,0.957637268,0.498668751,0.29,0.01,0.03,2,1,1,1
Fifth Place Team - Finalist,KPRCA_00009,b7897101_26dbaacdc1ed1564e557a7ab0b333325297150330b9369df5eb4282e7e0c37ee.ar,0,1,1,1,0.01,0,0,0,0,0,2
Sixth Place Team - Finalist,KPRCA_00009,b7897101_76363ec556e27ca0ba288a350599484cba1f46310d12c9969bb79764d0e4357f.ar,1.78,0.592080277,0.957637268,0.592080277,0.24,0.13,0.23,1.5,1,0,2
First Place Team - Finalist,KPRCA_00009,b7897101_ae521d18c9d729564b158e75663cb07b65a4ea6371201ef032323fb1ae81f7e5.ar,0.19,0.09367,0.957637268,0.09367,0.81,0.27,0.22,2,1,1,1
Tenth Place Team,KPRCA_00009,b7897101_0a6321760cd763b67a54a6b086e6fa482dfa5584581eb54d3c611d41031862f0.ar,0,0,0,1,0.01,0.03,0.01,0,0,0,1
Seventh Place Team - Finalist,KPRCA_00009,b7897101_d1fe93d8fad2786b12ead206942cee22813ed94c10ee9800fa5d108d08b7a174.ar,2.77,0.923845426,0.957637268,0.923845426,0.12,0.01,0.07,1.5,1,0,2
Fourth Place Team - Finalist,KPRCA_00009,b7897101_8e92fe65643fa106133c83662eb5e53c7069e5c86f2b0b672a64a65d0a7f273d.ar,0,0.960980344,1,0.960980344,0.08,0.06,0.11,0,0,0,1
